Sensor Name,X,Y,US AQI,source
RENET1,121.06896579265596,14.647362139585352,23.0,UPCARE
RENET3,121.06237,14.6475,1.0,UPCARE
RENET4,121.06453,14.66071,28.0,UPCARE
BAGUIO2,120.597128,16.410988,9.0,UPCARE
BAGUIO1,120.595146,16.413536,5.0,UPCARE
RENET5,121.073771,14.657549,17.0,UPCARE
RENET6,121.069258,14.657391,31.0,UPCARE
RENET2,121.07100000000001,14.6498,19.0,UPCARE
EMB_NCR_V2_1,121.05784600813705,14.563822649153394,37.0,UPCARE
EMB_NCR_V2_2,120.98100000000001,14.5924,44.0,UPCARE
EMB_NCR_V2_3,121.04100000000001,14.5356,77.0,UPCARE
EMB_NCR_V2_4,121.065608,14.572515000000001,84.0,UPCARE
RENET7,121.07375,14.65201,14.0,UPCARE
EMB_CAR_1,120.590249,16.448599,34.0,UPCARE
PASIG_2,121.058987,14.57744,34.0,UPCARE
PASIG_6,121.060227,14.577668,66.0,UPCARE
PASIG_7,121.078337,14.578977,43.0,UPCARE
PASIG_8,121.095717,14.613555,64.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,7.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,76.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,58.0,UPCARE
PASIG_1,121.081507,14.578485,84.0,UPCARE
PASIG_9,121.097895,14.573976,55.0,UPCARE
PASIG_11,121.078171,14.563072,69.0,UPCARE
UPD_ACCT_ADMIN,121.0703876,14.6601,44.0,UPCARE
UPD_ACCT_ADMIN,121.0703876,14.6601,75.0,UPCARE
UPD_OVCRD_TTBDO,121.058442,14.652142,58.0,UPCARE
UPD_OVCRD_TTBDO,121.058442,14.652142,52.0,UPCARE
PASIG_10,121.074919,14.56866,13.0,UPCARE
PASIG_5,121.086755,14.612011,91.0,UPCARE
PASIG_3,121.09144,14.598138,7.0,UPCARE
ROAM_TEST,121.06818320188637,14.649833905872944,62.0,UPCARE
QC3_QCHG4,121.05302,14.64641,67.0,UPCARE
QC1_QCH,121.04972,14.6484,92.0,UPCARE
QC4_PL,121.050608,14.647677,9.0,UPCARE
QC5_QCU,121.032243,14.700265,3.0,UPCARE
QC2_QCMC,121.050796,14.648898,37.0,UPCARE
RENET8,121.074056,14.653757,23.0,UPCARE
PLW_PENRO,118.733942,9.791487,43.0,UPCARE
PLW_CH,118.731375,9.78357,4.0,UPCARE
PLW_PSU,118.734315,9.777619,11.0,UPCARE
PLW_MNDZ_PK,118.736554,9.740167999999999,4.0,UPCARE
aq_2,121.06853,14.65252,80.0,UPCARE
PASIG_4,121.099847,14.551509000000001,59.0,UPCARE
PASIG_CITYHALL,121.058449,14.652161,45.0,UPCARE
PASIG_CITYHALL,121.058449,14.652161,73.0,UPCARE
PASIG_CITYHALL,121.058449,14.652161,92.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,0.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,71.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,69.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,91.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,80.0,UPCARE
MARIKINA_PAGAWAAN_BLDG1,,,3.0,UPCARE
MARIKINA_PAGAWAAN_BLDG2,,,27.0,UPCARE
MARIKINA_PAGAWAAN_BLDG2,,,22.0,UPCARE
MARIKINA_PAGAWAAN_BLDG2,,,65.0,UPCARE
MARIKINA_PAGAWAAN_BLDG2,,,41.0,UPCARE
